Timestamp (ms),F_IMU_GYRO_Z
14337,0.0625
14346,0.0625
14356,-0.1875
14366,-0.125
14374,-0.4375
14386,-0.0625
14396,0.0
14406,-0.0625
14416,0.1875
14423,0.0625
14423,0.0625
14436,-0.125
14446,-0.125
14456,-0.1875
14466,0.0625
14474,-0.0625
14486,0.125
14496,-0.0625
14506,0.0625
14516,0.1875
14523,0.0625
14536,-0.125
14546,-0.125
14556,-0.1875
14566,-0.0625
14573,-0.125
14588,0.1875
14596,0.1875
14606,0.0
14616,0.0
14623,0.0
14636,-0.125
14646,-0.125
14656,-0.0625
14666,0.0
14673,0.0625
14686,0.1875
14696,0.0
14706,0.4375
14716,-0.5
14723,-0.5625
14723,-0.5625
14733,-0.3125
14746,-0.125
14756,0.125
14766,0.1875
14773,-0.1875
14783,-1.1875
14792,0.0
14800,0.0
14810,0.0
14820,0.0
14830,0.0
14840,0.0
14850,0.0
14860,0.0
14870,0.0
14870,0.0
14880,0.0
14890,0.0
14900,0.0
14910,0.0
14920,0.0
14930,0.0
14946,-0.0625
14956,0.125
14966,0.0
14973,-0.1875
14986,-0.0625
14996,-0.25
15005,-0.3125
15015,-0.1875
15023,-0.25
15035,0.0625
15045,0.1875
15055,0.0
15065,0.0
15073,-0.0625
15085,0.0
15095,0.0
15105,-0.0625
15114,-0.125
15123,-1.5625
15136,-7.6875
15144,-8.0
15152,0.0
15163,-0.75
15170,0.0
